"","atopid","member","yrent","moent","ineffect","estmode","pubsecr","secrart","length","defense","offense","neutral","nonagg","consul","active","notaiden","terrres","specthrt","milaid","base","armred","ecaid","StateAbb","StateName"
"1",3150,58,1981,12,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,"AAB","Antigua & Barbuda"
"2",3900,58,1981,6,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,"AAB","Antigua & Barbuda"
"3",4778,58,1996,3,1,1,0,0,0,1,0,0,0,1,1,0,1,0,3,0,0,0,"AAB","Antigua & Barbuda"
"4",2075,700,1921,3,0,1,0,0,0,1,0,0,0,0,1,2,0,0,3,0,0,0,"AFG","Afghanistan"
"5",2090,700,1921,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,"AFG","Afghanistan"
"6",2170,700,1926,8,0,1,0,0,36,0,0,1,1,0,0,4,0,0,0,0,0,0,"AFG","Afghanistan"
"7",2210,700,1927,11,0,1,0,0,72,0,0,1,1,0,0,2,0,0,0,0,0,0,"AFG","Afghanistan"
"8",2210,700,1928,6,0,1,0,0,72,0,0,1,1,1,0,2,0,0,0,0,0,3,"AFG","Afghanistan"
"9",2218,700,1928,5,0,1,0,0,120,0,0,0,1,1,0,2,0,0,3,0,0,3,"AFG","Afghanistan"
"10",2410,700,1937,7,0,1,0,0,60,0,0,0,1,1,0,3,0,0,0,0,0,0,"AFG","Afghanistan"
"11",3415,700,1960,8,0,1,0,0,120,0,0,0,1,0,0,0,0,0,0,0,0,0,"AFG","Afghanistan"
"12",3840,700,1978,12,0,1,0,0,240,0,0,0,1,1,0,0,0,0,0,0,0,3,"AFG","Afghanistan"
"13",3937,700,1982,5,0,1,0,0,240,0,0,0,1,0,0,0,0,0,0,0,0,0,"AFG","Afghanistan"
"14",3942,700,1982,10,0,1,0,0,240,0,0,0,1,0,0,0,0,0,0,0,0,0,"AFG","Afghanistan"
"15",3985,700,1988,4,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,"AFG","Afghanistan"
"16",6050,700,2012,5,1,0,0,0,144,0,0,0,0,1,0,0,1,5,4,3,0,1,"AFG","Afghanistan"
"17",2205,339,1927,11,0,1,0,0,240,1,0,0,0,0,1,0,0,0,0,0,0,0,"ALB","Albania"
"18",2205,339,1927,11,0,1,0,0,240,1,0,0,0,0,1,0,0,0,0,0,0,0,"ALB","Albania"
"19",3050,339,1946,7,0,1,0,0,240,1,0,0,0,0,1,0,0,1,0,0,0,0,"ALB","Albania"
"20",3050,339,1946,7,0,1,0,0,240,1,0,0,0,0,1,0,0,1,0,0,0,0,"ALB","Albania"
"21",3100,339,1947,12,0,1,0,0,240,1,0,0,1,1,1,0,0,1,0,0,0,0,"ALB","Albania"
"22",3100,339,1947,12,0,1,0,0,240,1,0,0,1,1,1,0,0,1,0,0,0,0,"ALB","Albania"
"23",3180,339,2008,7,1,1,0,0,240,1,0,0,1,1,1,0,0,0,0,3,0,0,"ALB","Albania"
"24",3180,339,2008,7,1,1,0,0,240,1,0,0,1,1,1,0,0,0,0,3,0,0,"ALB","Albania"
"25",3285,339,1955,5,0,1,0,0,240,1,0,0,1,1,1,0,0,6,0,0,0,0,"ALB","Albania"
"26",3285,339,1955,5,0,1,0,0,240,1,0,0,1,1,1,0,0,6,0,0,0,0,"ALB","Albania"
"27",3740,339,1991,9,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,"ALB","Albania"
"28",3740,339,1991,9,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,"ALB","Albania"
"29",4250,339,1992,6,1,1,0,0,240,0,0,1,1,1,0,1,0,0,0,0,0,0,"ALB","Albania"
"30",4250,339,1992,6,1,1,0,0,240,0,0,1,1,1,0,1,0,0,0,0,0,0,"ALB","Albania"
"31",4430,339,1993,2,1,1,0,0,240,0,0,1,1,0,0,0,0,0,0,0,0,0,"ALB","Albania"
"32",4430,339,1993,2,1,1,0,0,240,0,0,1,1,0,0,0,0,0,0,0,0,0,"ALB","Albania"
"33",4740,339,1995,10,1,1,0,0,240,0,0,0,1,1,0,0,0,0,0,0,0,0,"ALB","Albania"
"34",4740,339,1995,10,1,1,0,0,240,0,0,0,1,1,0,0,0,0,0,0,0,0,"ALB","Albania"
"35",4785,339,1996,3,1,1,0,0,240,0,0,0,1,1,0,0,0,0,0,0,0,0,"ALB","Albania"
"36",4785,339,1996,3,1,1,0,0,240,0,0,0,1,1,0,0,0,0,0,0,0,0,"ALB","Albania"
"37",4995,339,2001,11,1,1,0,0,120,0,0,0,1,1,0,0,0,0,0,0,0,0,"ALB","Albania"
"38",4995,339,2001,11,1,1,0,0,120,0,0,0,1,1,0,0,0,0,0,0,0,0,"ALB","Albania"
"39",3015,615,1962,8,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"ALG","Algeria"
"40",3205,615,1964,9,1,1,0,0,120,1,0,0,1,1,1,0,0,0,3,0,0,0,"ALG","Algeria"
"41",3615,615,1969,1,0,1,0,0,240,0,0,0,1,0,0,0,0,0,0,0,0,0,"ALG","Algeria"
"42",3623,615,1970,1,0,1,0,0,240,0,0,0,1,0,0,0,0,0,0,0,0,0,"ALG","Algeria"
"43",3748,615,1975,12,0,0,0,0,NA,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"ALG","Algeria"
"44",3807,615,1977,12,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,"ALG","Algeria"
"45",3948,615,1983,3,0,1,0,0,240,0,0,0,1,0,0,4,0,0,0,0,0,NA,"ALG","Algeria"
"46",3995,615,1989,2,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,"ALG","Algeria"
"47",4953,615,2000,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"ALG","Algeria"
"48",4953,615,2002,7,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,"ALG","Algeria"
"49",5032,615,2003,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,"ALG","Algeria"
"50",5055,615,2006,1,1,1,0,0,0,1,0,0,1,0,1,4,0,0,1,0,0,0,"ALG","Algeria"
"51",3740,232,1998,2,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,"AND","Andorra"
"52",4475,232,1993,6,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"AND","Andorra"
"53",3765,540,1976,10,1,1,0,0,240,0,0,0,1,1,0,0,0,0,0,0,0,3,"ANG","Angola"
"54",3844,540,1979,2,0,1,0,0,240,0,0,0,1,0,0,0,0,0,0,0,0,0,"ANG","Angola"
"55",3853,540,1979,10,1,NA,0,0,NA,0,0,0,1,0,0,3,NA,NA,0,0,NA,NA,"ANG","Angola"
"56",3915,540,1981,10,1,1,0,0,240,0,0,0,1,1,0,0,0,0,0,0,0,0,"ANG","Angola"
"57",3990,540,1988,12,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,"ANG","Angola"
"58",4920,540,1999,4,0,1,0,0,NA,1,0,0,0,0,1,NA,NA,NA,3,NA,NA,NA,"ANG","Angola"
"59",4945,540,2000,2,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,"ANG","Angola"
"60",4953,540,2001,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"ANG","Angola"
"61",4953,540,2002,7,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,"ANG","Angola"
"62",4985,540,2001,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"ANG","Angola"
"63",4985,540,2003,8,1,1,0,0,0,1,0,0,1,1,1,3,0,0,3,0,0,0,"ANG","Angola"
